,GAME_ID,GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,DD2,TD3,PER,TEAM_NAME,TEAM_ABBREVIATION,TEAM_ID,SEASON_YEAR,Game_Type
0,20400004,2004-11-03T00:00:00,TOR vs. HOU,W,240.0,35,77,0.45454545454545453,6,18,0.3333333333333333,19,26,0.7307692307692307,12,28,40,22,13,8,2,2,16,0,95,35,0,0,138.92987092418542,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
1,20400020,2004-11-05T00:00:00,TOR vs. DET,W,240.00000000000003,41,88,0.4659090909090909,7,20,0.35,12,18,0.6666666666666666,17,30,47,24,13,6,6,4,21,0,101,60,1,0,164.81381456050755,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
2,20400042,2004-11-07T00:00:00,TOR vs. POR,W,240.0,39,87,0.4482758620689655,8,16,0.5,15,20,0.75,12,30,42,22,9,10,2,7,20,0,101,20,0,0,145.69808152418886,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
3,20400058,2004-11-09T00:00:00,TOR @ SAC,L,240.0,35,97,0.36082474226804123,5,23,0.21739130434782608,17,27,0.6296296296296297,19,25,44,16,10,9,4,8,16,0,92,-80,0,0,136.673426344351,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
4,20400067,2004-11-10T00:00:00,TOR @ UTA,W,240.0,42,87,0.4827586206896552,6,18,0.3333333333333333,14,15,0.9333333333333333,14,27,41,20,11,6,8,5,32,0,104,45,0,0,156.85318046415748,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
5,20400079,2004-11-12T00:00:00,TOR @ SEA,L,240.0,34,83,0.40963855421686746,9,23,0.391304347826087,10,17,0.5882352941176471,13,22,35,23,13,10,6,4,23,1,87,-5,1,0,104.75373542994618,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
6,20400090,2004-11-13T00:00:00,TOR @ POR,L,240.0,40,84,0.47619047619047616,7,16,0.4375,15,19,0.7894736842105263,13,25,38,23,13,8,2,4,25,0,102,-15,0,0,117.72756333527238,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
7,20400105,2004-11-16T00:00:00,TOR @ LAC,L,240.0,36,85,0.4235294117647059,4,17,0.23529411764705882,13,18,0.7222222222222222,17,23,40,14,21,11,1,9,22,0,89,-60,0,0,104.64934868401352,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
8,20400113,2004-11-17T00:00:00,TOR @ DEN,L,240.0,35,82,0.4268292682926829,6,22,0.2727272727272727,30,35,0.8571428571428571,17,27,44,18,15,7,4,8,29,0,106,-30,0,0,131.38361923391167,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
9,20400120,2004-11-19T00:00:00,TOR vs. SEA,L,240.0,34,79,0.43037974683544306,7,20,0.35,19,24,0.7916666666666666,9,25,34,20,15,9,4,2,26,0,94,-35,0,0,99.047982074175,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
10,20400136,2004-11-21T00:00:00,TOR vs. SAS,W,240.0,37,78,0.47435897435897434,5,13,0.38461538461538464,17,24,0.7083333333333334,12,27,39,20,12,7,5,5,26,0,96,25,2,0,106.44380138608882,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
11,20400150,2004-11-23T00:00:00,TOR @ WAS,L,240.0,31,84,0.36904761904761907,5,18,0.2777777777777778,19,33,0.5757575757575758,13,34,47,17,10,4,7,2,21,0,86,-80,2,0,59.09680524402981,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
12,20400160,2004-11-24T00:00:00,TOR vs. NYK,W,240.0,44,84,0.5238095238095238,8,14,0.5714285714285714,18,23,0.782608695652174,9,36,45,24,9,7,6,2,21,0,114,115,0,0,205.0557979153986,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
13,20400184,2004-11-27T00:00:00,TOR @ NYK,L,240.00000000000003,37,80,0.4625,6,21,0.2857142857142857,22,30,0.7333333333333333,9,30,39,20,14,4,3,1,14,0,102,-30,0,0,141.1568338646675,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
14,20400192,2004-11-28T00:00:00,TOR vs. WAS,L,265.0,47,94,0.5,7,20,0.35,8,13,0.6153846153846154,7,33,40,26,15,6,3,4,28,0,109,-25,0,0,123.7102476375579,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
15,20400204,2004-11-30T00:00:00,TOR @ MIA,W,240.0,32,80,0.4,7,21,0.3333333333333333,23,31,0.7419354838709677,13,29,42,16,13,7,4,3,29,0,94,10,1,0,158.00670151622677,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
16,20400213,2004-12-01T00:00:00,TOR @ ORL,L,240.0,38,89,0.42696629213483145,8,19,0.42105263157894735,24,32,0.75,6,26,32,20,12,12,4,7,26,0,108,-105,0,0,189.4142498719193,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
17,20400224,2004-12-03T00:00:00,TOR @ BOS,L,239.99999999999997,37,91,0.4065934065934066,3,20,0.15,12,15,0.8,16,33,49,21,16,6,7,8,27,0,89,-10,1,0,112.2450610752341,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
18,20400236,2004-12-04T00:00:00,TOR @ CLE,L,239.99999999999997,33,89,0.3707865168539326,6,13,0.46153846153846156,25,26,0.9615384615384616,17,27,44,20,16,10,3,5,25,0,97,-40,2,0,111.80514432718437,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
19,20400248,2004-12-06T00:00:00,TOR @ NJN,L,240.00000000000003,28,78,0.358974358974359,9,19,0.47368421052631576,21,27,0.7777777777777778,6,30,36,20,12,9,6,4,19,0,86,-10,0,0,101.85226229413384,Toronto Raptors,TOR,1610612761,2019-20,Regular Season
